parent,child
Acidaminococcus,905
Acidaminococcus,187327
Paracidovorax,80869
Diaphorobacter,721785
Acinetobacter,909768
Acinetobacter,40214
Acinetobacter,40215
Schaalia,1660
Actinomyces,651609
Actinomyces,712124
Actinomyces,1656
Aeromonas,654
Aggregatibacter,732
Aggregatibacter,739
Akkermansia,239935
Alicycliphilus,179636
Alistipes,28117
Alistipes,328814
Alistipes,908612
Anaerococcus,33032
Anaerococcus,33037
Anaerofustis,214853
Anaerostipes,105841
Anaerotruncus,169435
Aliarcobacter,28197
Lancefieldella,1382
Lancefieldella,1383
Fannyhessea,82135
Azotobacter,354
Bacillus,1396
Bacteroides,47678
Bacteroides,626929
Phocaeicola,310298
Phocaeicola,387090
Phocaeicola,821
Bacteroides,28111
Bacteroides,338188
Bacteroides,626930
Bacteroides,817
Bacteroides,290053
Bacteroides,329854
Bacteroides,28116
Phocaeicola,310297
Phocaeicola,376805
Bacteroides,46506
Bacteroides,818
Bacteroides,820
Bacteroides,371601
Bifidobacterium,1680
Bifidobacterium,1683
Bifidobacterium,28025
Bifidobacterium,1681
Bifidobacterium,1685
Bifidobacterium,28026
Bifidobacterium,1689
Bifidobacterium,216816
Bilophila,35833
Blautia,1322
Blautia,53443
Brachyspira,52584
Brevibacterium,1703
Bulleidia,118748
Butyrivibrio,45851
Campylobacter,199
Campylobacter,824
Campylobacter,76517
Campylobacter,197
Campylobacter,204
Campylobacter,28080
Candidatus Phytoplasma,37692
Capnocytophaga,706435
Cardiobacterium,2718
Catonella,43997
Citrobacter,545
Citrobacter,67825
Citrobacter,1639133
Citrobacter,133448
Enterocloster,208479
Clostridium,1492
Lachnoclostridium,89153
Clostridium,1502
Thomasclavelia,1547
Lacrimispora,84030
Lachnoclostridium,29347
Clostridium,457396
Clostridium,556261
Clostridium,908340
Clostridium,2860053
Thomasclavelia,29348
Lachnoclostridium,1512
Collinsella,74426
Collinsella,147207
Collinsella,147206
Comamonas,285
Coprobacillus,100884
Coprococcus,116085
Coprococcus,410072
Coprococcus,33043
Corynebacterium,43765
Corynebacterium,161879
Corynebacterium,1727
Cronobacter,413502
Cryptobacterium,84163
Delftia,80866
Desulfovibrio,876
Desulfovibrio,901
Desulfovibrio,457398
Desulfovibrio,881
Dialister,218538
Dialister,309120
Dickeya,204038
Dorea,39486
Dorea,88431
Dysgonomonas,163665
Edwardsiella,67780
Eggerthella,84112
Eggerthella,502558
Enhydrobacter,225324
Klebsiella,548
Enterobacter,61645
Enterobacter,69218
Enterobacter,550
Enterobacter,158836
Enterobacter,399742
Enterococcus,37734
Enterococcus,1351
Enterococcus,1352
Enterococcus,1353
Escherichia,208962
Escherichia,562
Holdemanella,1735
Faecalitalea,39483
Amedibacillus,31971
Lachnospira,39485
Anaerobutyricum,39488
Eubacterium,1736
Agathobacter,39491
Lachnoanaerobaculum,467210
Eubacterium,39496
Faecalibacterium,853
Filifactor,143361
Finegoldia,1260
Fusobacterium,849
Fusobacterium,850
Fusobacterium,851
Fusobacterium,860
Fusobacterium,556263
Fusobacterium,861
Fusobacterium,856
Gardnerella,2702
Gemella,1379
Gemella,29391
Gemella,84135
Granulicatella,46124
Granulicatella,137732
Haemophilus,726
Haemophilus,727
Haemophilus,729
Haemophilus,249188
Helicobacter,213
Helicobacter,35818
Helicobacter,210
Holdemania,61171
Klebsiella,571
Klebsiella,244366
Lactobacillus,1579
Lactobacillus,83683
Lactobacillus,1604
Ligilactobacillus,1605
Levilactobacillus,1580
Lacticaseibacillus,1582
Limosilactobacillus,181675
Loigolactobacillus,1610
Lactobacillus,47770
Lactobacillus,1584
Limosilactobacillus,1613
Fructilactobacillus,1614
Lactobacillus,1596
Lactobacillus,1587
Lactobacillus,147802
Lactobacillus,33959
Limosilactobacillus,1632
Lactiplantibacillus,1590
Limosilactobacillus,1598
Lacticaseibacillus,47715
Ligilactobacillus,1623
Latilactobacillus,1599
Ligilactobacillus,1624
Fructilactobacillus,1625
Lactobacillus,227945
Limosilactobacillus,1633
Lactococcus,1363
Lactococcus,1358
Lautropia,47671
Leptotrichia,157688
Leuconostoc,33964
Leuconostoc,1251
Leuconostoc,1244
Leuconostoc,1246
Leuconostoc,1245
Marvinbryantia,168384
Megasphaera,907
Megasphaera,699192
Megasphaera,187326
Allomeiothermus,52022
Methanobrevibacter,2173
Methanosphaera,2317
Micrococcus,1270
Mitsuokella,52226
Mobiluncus,2051
Metamycoplasma,2098
Neisseria,483
Neisseria,495
Neisseria,484
Neisseria,485
Neisseria,487
Neisseria,488
Neisseria,28449
Odoribacter,28118
Oenococcus,1247
Olsenella,133926
Oribacterium,237576
Oribacterium,608534
Oribacterium,712414
Oscillibacter,351091
Oxalobacter,847
Pantoea,553
Pantoea,517433
Pantoea,470934
Parabacteroides,823
Parabacteroides,46503
Paraprevotella,454155
Parascardovia,78258
Parasutterella,487175
Parvimonas,33033
Pediococcus,1254
Pediococcus,1255
Peptoniphilus,507750
Peptoniphilus,54005
Peptoniphilus,33031
Peptoniphilus,712430
Peptostreptococcus,1261
Peptostreptococcus,341694
Phascolarctobacterium,626940
Porphyromonas,28123
Porphyromonas,281920
Prevotella,28125
Segatella,28126
Hoylesella,28127
Segatella,165179
Prevotella,52227
Prevotella,28129
Prevotella,28130
Prevotella,28132
Hallella,310514
Prevotella,28133
Hoylesella,28134
Alloprevotella,76122
Hoylesella,386414
Cutibacterium,1747
Propionibacterium,1744
Proteus,584
Proteus,102862
Providencia,158850
Pseudoalteromonas,228
Pseudoalteromonas,234831
Pseudoflavonifractor,106588
Pseudomonas,287
Pseudomonas,930166
Pseudomonas,294
Pseudomonas,47880
Pseudomonas,300
Pseudomonas,303
Stutzerimonas,316
Pseudomonas,47877
Pyramidobacter,638849
Rahnella,34038
Rahnella,2703885
